,Loan_Amount,Loan_Tenure_Year,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Years_for_Property_to_Completion,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Number_of_Loan_to_Approve,Property_Type,State,Score,Total_Duration,Decision
137,Low Loan Amount,16.0,6.0,2.0,2.0,2.0,10.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,137,6,employer,no,platinum,2,3,condominium,Johor,6,22.0,Reject
138,Low Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,138,6,employer,yes,normal,2,3,condominium,Johor,7,23.0,Reject
139,Average Loan Amount,18.0,6.0,2.0,2.0,1.0,11.0,3.0,Low Salary,High Sum of Loan,Average Income for Join Application,139,6,employer,no,normal,2,1,condominium,Johor,9,24.0,Accept
140,High Loan Amount,23.0,6.0,4.0,2.0,2.0,10.0,3.0,Average Salary,Low Sum of Loan,Low Income for Join Application,140,6,employer,yes,platinum,2,3,condominium,Johor,8,29.0,Accept
141,Average Loan Amount,20.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,141,6,employer,no,gold,2,2,condominium,Johor,9,26.0,Accept
142,Average Loan Amount,23.0,6.0,3.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,High Income for Join Application,142,6,employer,yes,gold,2,2,condominium,Johor,8,29.0,Accept
143,High Loan Amount,22.0,6.0,2.0,2.0,1.0,11.0,3.0,Low Salary,Low Sum of Loan,Low Income for Join Application,143,6,employer,no,normal,2,2,condominium,Johor,9,28.0,Accept
144,Average Loan Amount,12.0,6.0,2.0,2.0,1.0,10.0,3.0,Low Salary,Low Sum of Loan,High Income for Join Application,144,6,employer,yes,normal,2,3,condominium,Johor,8,18.0,Accept
145,High Loan Amount,12.0,6.0,2.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,145,6,employer,no,gold,2,1,condominium,Johor,8,18.0,Accept
146,Average Loan Amount,15.0,6.0,3.0,2.0,1.0,11.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,146,6,employer,yes,normal,2,1,condominium,Johor,6,21.0,Accept
147,Low Loan Amount,23.0,12.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,147,6,employer,no,normal,2,1,condominium,Johor,8,35.0,Accept
148,Low Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,148,6,employer,yes,normal,2,3,condominium,Johor,7,28.0,Accept
149,Low Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,149,6,employer,no,gold,2,2,condominium,Johor,8,23.0,Accept
150,Low Loan Amount,12.0,14.0,2.0,2.0,3.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,150,6,employer,yes,normal,2,1,condominium,Johor,8,26.0,Accept
151,High Loan Amount,14.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,151,6,employer,no,gold,2,1,condominium,Johor,6,20.0,Reject
152,Low Loan Amount,22.0,12.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Low Income for Join Application,152,6,employer,yes,normal,2,3,condominium,Johor,7,34.0,Reject
153,High Loan Amount,13.0,6.0,2.0,2.0,1.0,10.0,2.0,High Salary,High Sum of Loan,Average Income for Join Application,153,6,employer,no,platinum,2,2,condominium,Johor,7,19.0,Accept
154,Average Loan Amount,21.0,6.0,2.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,154,6,employer,yes,gold,2,2,condominium,Johor,8,27.0,Accept
155,Average Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,155,6,employer,no,normal,2,2,condominium,Johor,7,28.0,Reject
156,Average Loan Amount,19.0,6.0,2.0,2.0,1.0,10.0,1.0,Low Salary,High Sum of Loan,High Income for Join Application,156,6,employer,yes,normal,2,3,condominium,Johor,6,25.0,Accept
157,High Loan Amount,11.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,157,6,employer,no,normal,2,1,condominium,Johor,7,17.0,Reject
158,Low Loan Amount,22.0,12.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,158,6,employer,yes,normal,2,2,condominium,Johor,9,34.0,Accept
159,Average Loan Amount,18.0,15.0,3.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,159,6,employer,no,platinum,2,1,condominium,Johor,7,33.0,Accept
160,Low Loan Amount,16.0,6.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,160,6,employer,yes,gold,2,2,condominium,Johor,8,22.0,Accept
161,Low Loan Amount,17.0,6.0,4.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Average Income for Join Application,161,6,employer,no,normal,2,3,condominium,Johor,8,23.0,Accept
162,Low Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,162,6,employer,yes,normal,2,2,condominium,Johor,7,28.0,Accept
163,Average Loan Amount,21.0,16.0,2.0,3.0,2.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,163,6,employer,no,gold,2,3,condominium,Johor,7,37.0,Accept
164,Low Loan Amount,20.0,6.0,2.0,2.0,1.0,11.0,3.0,Average Salary,Average Sum of Loan,High Income for Join Application,164,6,employer,yes,gold,2,2,condominium,Johor,9,26.0,Accept
165,Low Loan Amount,22.0,6.0,2.0,2.0,2.0,10.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,165,6,employer,no,gold,2,2,condominium,Johor,9,28.0,Accept
166,Low Loan Amount,18.0,6.0,2.0,2.0,1.0,10.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,166,6,employer,yes,normal,2,2,condominium,Johor,9,24.0,Accept
167,High Loan Amount,20.0,14.0,2.0,2.0,1.0,12.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,167,6,employer,no,normal,2,2,condominium,Johor,7,34.0,Accept
168,Average Loan Amount,18.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,168,6,employer,yes,normal,2,3,condominium,Johor,8,24.0,Accept
169,Average Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,169,6,employer,no,normal,2,2,condominium,Johor,9,28.0,Accept
170,High Loan Amount,20.0,6.0,2.0,2.0,2.0,10.0,1.0,Low Salary,High Sum of Loan,High Income for Join Application,170,6,employer,yes,normal,2,2,condominium,Johor,9,26.0,Accept
171,High Loan Amount,13.0,6.0,2.0,2.0,1.0,10.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,171,6,employer,no,normal,2,2,condominium,Johor,7,19.0,Accept
172,Average Loan Amount,12.0,15.0,2.0,2.0,2.0,10.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,172,6,employer,yes,gold,2,3,condominium,Johor,6,27.0,Accept
173,Low Loan Amount,17.0,6.0,2.0,2.0,2.0,10.0,2.0,Average Salary,Low Sum of Loan,Average Income for Join Application,173,6,employer,no,normal,2,2,condominium,Johor,8,23.0,Accept
174,Low Loan Amount,23.0,6.0,4.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,174,6,employer,yes,normal,2,3,condominium,Johor,8,29.0,Accept
175,Low Loan Amount,13.0,6.0,3.0,2.0,1.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,175,6,employer,no,normal,2,3,condominium,Johor,7,19.0,Accept
176,Low Loan Amount,20.0,6.0,2.0,2.0,1.0,10.0,3.0,Low Salary,High Sum of Loan,Low Income for Join Application,176,6,employer,yes,normal,2,1,condominium,Johor,7,26.0,Accept
177,High Loan Amount,10.0,16.0,4.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,177,6,employer,no,normal,2,3,condominium,Johor,8,26.0,Reject
178,Low Loan Amount,23.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,178,6,employer,yes,normal,2,3,condominium,Johor,9,29.0,Accept
179,High Loan Amount,20.0,6.0,2.0,2.0,1.0,10.0,1.0,High Salary,High Sum of Loan,Low Income for Join Application,179,6,employer,no,normal,2,3,condominium,Johor,7,26.0,Accept
180,Low Loan Amount,22.0,6.0,2.0,2.0,1.0,11.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,180,6,employer,yes,platinum,2,2,condominium,Johor,6,28.0,Accept
181,High Loan Amount,22.0,6.0,2.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,181,6,employer,no,normal,2,1,condominium,Johor,6,28.0,Accept
182,Low Loan Amount,17.0,7.0,6.0,2.0,1.0,10.0,3.0,Average Salary,Average Sum of Loan,Average Income for Join Application,182,6,employer,yes,normal,2,1,condominium,Johor,8,24.0,Accept
183,Low Loan Amount,14.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,183,6,employer,no,gold,2,1,condominium,Johor,9,20.0,Accept
184,Average Loan Amount,23.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,184,6,employer,yes,gold,2,2,condominium,Johor,9,29.0,Accept
185,High Loan Amount,17.0,6.0,2.0,2.0,2.0,10.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,185,6,employer,no,platinum,2,1,condominium,Johor,9,23.0,Reject
186,Low Loan Amount,20.0,6.0,2.0,2.0,2.0,10.0,1.0,High Salary,High Sum of Loan,High Income for Join Application,186,6,employer,yes,normal,2,1,condominium,Johor,8,26.0,Accept
187,Average Loan Amount,11.0,6.0,2.0,2.0,1.0,10.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,187,6,employer,no,normal,2,3,condominium,Johor,6,17.0,Accept
188,High Loan Amount,19.0,9.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,188,6,employer,yes,normal,2,2,condominium,Johor,6,28.0,Accept
189,Low Loan Amount,15.0,6.0,4.0,2.0,1.0,10.0,2.0,Average Salary,Low Sum of Loan,Low Income for Join Application,189,6,employer,no,normal,2,2,condominium,Johor,8,21.0,Reject
190,Low Loan Amount,24.0,14.0,4.0,3.0,1.0,12.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,190,6,employer,yes,normal,2,3,condominium,Johor,6,38.0,Accept
191,Average Loan Amount,21.0,5.0,2.0,2.0,1.0,10.0,2.0,Average Salary,Average Sum of Loan,Average Income for Join Application,191,6,employer,no,normal,2,2,condominium,Johor,6,26.0,Accept
192,High Loan Amount,17.0,6.0,4.0,2.0,2.0,10.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,192,6,employer,yes,gold,2,1,condominium,Johor,9,23.0,Accept
193,Average Loan Amount,11.0,6.0,2.0,2.0,1.0,10.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,193,6,employer,no,normal,2,3,condominium,Johor,9,17.0,Accept
194,Average Loan Amount,17.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,Low Sum of Loan,Low Income for Join Application,194,6,employer,yes,normal,2,1,condominium,Johor,9,23.0,Reject
195,Low Loan Amount,20.0,6.0,2.0,2.0,1.0,11.0,3.0,Average Salary,Average Sum of Loan,High Income for Join Application,195,6,employer,no,normal,2,2,condominium,Johor,9,26.0,Accept
196,Average Loan Amount,15.0,6.0,3.0,2.0,1.0,10.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,196,6,employer,yes,platinum,2,3,condominium,Johor,8,21.0,Accept
197,High Loan Amount,18.0,6.0,4.0,2.0,1.0,10.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,197,6,employer,no,platinum,2,1,condominium,Johor,8,24.0,Accept
198,High Loan Amount,20.0,6.0,2.0,2.0,2.0,11.0,3.0,Low Salary,Low Sum of Loan,High Income for Join Application,198,6,employer,yes,gold,2,3,condominium,Johor,8,26.0,Accept
199,Low Loan Amount,11.0,6.0,2.0,2.0,1.0,10.0,2.0,Low Salary,High Sum of Loan,Low Income for Join Application,199,6,employer,no,normal,2,2,condominium,Johor,9,17.0,Accept
200,Average Loan Amount,11.0,15.0,6.0,2.0,2.0,11.0,1.0,High Salary,High Sum of Loan,Average Income for Join Application,200,2,Self_Employed,yes,normal,2,2,condominium,Johor,7,26.0,Reject
201,Low Loan Amount,16.0,7.0,4.0,2.0,2.0,11.0,2.0,Low Salary,Average Sum of Loan,Average Income for Join Application,201,2,Self_Employed,no,normal,2,1,condominium,Johor,9,23.0,Accept
202,Average Loan Amount,21.0,7.0,4.0,2.0,1.0,11.0,3.0,High Salary,Low Sum of Loan,High Income for Join Application,202,2,Self_Employed,yes,normal,2,3,condominium,Johor,8,28.0,Accept
203,Average Loan Amount,12.0,7.0,4.0,2.0,1.0,11.0,2.0,Low Salary,Average Sum of Loan,Low Income for Join Application,203,2,Self_Employed,no,platinum,2,2,condominium,Johor,6,19.0,Accept
204,High Loan Amount,20.0,7.0,4.0,2.0,2.0,11.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,204,2,Self_Employed,yes,normal,2,3,condominium,Johor,7,27.0,Accept
205,Average Loan Amount,16.0,15.0,3.0,2.0,2.0,11.0,2.0,High Salary,Low Sum of Loan,Average Income for Join Application,205,2,Self_Employed,no,gold,2,1,condominium,Johor,8,31.0,Accept
206,Average Loan Amount,15.0,13.0,6.0,2.0,2.0,11.0,1.0,Low Salary,High Sum of Loan,Average Income for Join Application,206,2,Self_Employed,yes,gold,2,2,condominium,Johor,6,28.0,Accept
207,Low Loan Amount,24.0,7.0,6.0,2.0,1.0,11.0,2.0,High Salary,Low Sum of Loan,Low Income for Join Application,207,2,Self_Employed,no,gold,2,1,condominium,Johor,9,31.0,Accept
208,High Loan Amount,18.0,12.0,4.0,2.0,2.0,11.0,1.0,Average Salary,Low Sum of Loan,High Income for Join Application,208,2,Self_Employed,yes,normal,2,3,condominium,Johor,9,30.0,Accept
209,High Loan Amount,20.0,7.0,5.0,2.0,3.0,11.0,3.0,Average Salary,High Sum of Loan,Average Income for Join Application,209,2,Self_Employed,no,normal,2,1,condominium,Johor,6,27.0,Accept
210,Average Loan Amount,23.0,8.0,3.0,2.0,1.0,11.0,2.0,Average Salary,High Sum of Loan,High Income for Join Application,210,2,Self_Employed,yes,gold,2,2,condominium,Johor,7,31.0,Accept
211,High Loan Amount,20.0,7.0,4.0,2.0,2.0,11.0,1.0,Low Salary,Low Sum of Loan,Average Income for Join Application,211,2,Self_Employed,no,normal,2,2,condominium,Johor,7,27.0,Accept
212,Low Loan Amount,12.0,14.0,6.0,2.0,1.0,11.0,1.0,Low Salary,Low Sum of Loan,High Income for Join Application,212,2,Self_Employed,yes,platinum,2,1,condominium,Johor,6,26.0,Accept
213,Low Loan Amount,14.0,7.0,6.0,2.0,2.0,11.0,1.0,High Salary,Average Sum of Loan,Low Income for Join Application,213,2,Self_Employed,no,normal,2,1,condominium,Johor,8,21.0,Accept
214,Low Loan Amount,11.0,7.0,6.0,2.0,2.0,11.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,214,2,Self_Employed,yes,platinum,2,1,condominium,Johor,7,18.0,Accept
215,Low Loan Amount,16.0,15.0,4.0,2.0,2.0,11.0,3.0,Low Salary,High Sum of Loan,Average Income for Join Application,215,2,Self_Employed,no,platinum,2,1,condominium,Johor,6,31.0,Accept
216,High Loan Amount,24.0,7.0,4.0,2.0,2.0,11.0,1.0,Average Salary,Average Sum of Loan,Average Income for Join Application,216,2,Self_Employed,yes,gold,2,2,condominium,Johor,7,31.0,Accept
217,High Loan Amount,20.0,7.0,6.0,2.0,2.0,11.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,217,2,Self_Employed,no,normal,2,3,condominium,Johor,9,27.0,Accept
218,High Loan Amount,21.0,7.0,6.0,2.0,1.0,11.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,218,2,Self_Employed,yes,platinum,2,3,condominium,Johor,7,28.0,Accept
219,Average Loan Amount,23.0,7.0,6.0,2.0,2.0,11.0,1.0,Average Salary,High Sum of Loan,Average Income for Join Application,219,2,Self_Employed,no,gold,2,2,condominium,Johor,7,30.0,Reject
220,Average Loan Amount,17.0,7.0,3.0,2.0,2.0,11.0,1.0,Average Salary,Average Sum of Loan,Low Income for Join Application,220,2,Self_Employed,yes,gold,2,2,condominium,Johor,9,24.0,Reject
221,Average Loan Amount,16.0,12.0,6.0,2.0,2.0,11.0,1.0,Average Salary,Average Sum of Loan,High Income for Join Application,221,2,Self_Employed,no,normal,2,1,condominium,Johor,8,28.0,Reject
222,High Loan Amount,21.0,7.0,6.0,2.0,2.0,11.0,1.0,Average Salary,High Sum of Loan,High Income for Join Application,222,2,Self_Employed,yes,normal,2,1,condominium,Johor,9,28.0,Accept
223,High Loan Amount,12.0,7.0,6.0,2.0,2.0,11.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,223,2,Self_Employed,no,gold,2,2,condominium,Johor,9,19.0,Accept
224,Average Loan Amount,17.0,7.0,6.0,2.0,2.0,11.0,2.0,Average Salary,High Sum of Loan,Low Income for Join Application,224,2,Self_Employed,yes,normal,2,1,condominium,Johor,8,24.0,Accept
225,Low Loan Amount,22.0,7.0,4.0,2.0,1.0,11.0,2.0,High Salary,Low Sum of Loan,High Income for Join Application,225,2,Self_Employed,no,platinum,2,2,condominium,Johor,7,29.0,Accept
226,Low Loan Amount,22.0,7.0,4.0,2.0,2.0,11.0,3.0,Average Salary,Low Sum of Loan,Average Income for Join Application,226,2,Self_Employed,yes,normal,2,3,condominium,Johor,8,29.0,Reject
227,Average Loan Amount,22.0,9.0,6.0,2.0,1.0,11.0,2.0,Average Salary,Low Sum of Loan,High Income for Join Application,227,2,Self_Employed,no,normal,2,1,condominium,Johor,7,31.0,Reject
228,High Loan Amount,20.0,7.0,6.0,2.0,2.0,11.0,1.0,Average Salary,Low Sum of Loan,Average Income for Join Application,228,2,Self_Employed,yes,gold,2,3,condominium,Johor,9,27.0,Accept
229,Average Loan Amount,20.0,7.0,6.0,2.0,2.0,10.0,2.0,Average Salary,Average Sum of Loan,High Income for Join Application,229,2,Self_Employed,no,normal,2,1,condominium,Johor,8,27.0,Accept
230,High Loan Amount,15.0,7.0,4.0,2.0,2.0,11.0,3.0,Average Salary,Low Sum of Loan,High Income for Join Application,230,2,Self_Employed,yes,normal,2,2,condominium,Johor,9,22.0,Accept
231,Average Loan Amount,18.0,7.0,6.0,2.0,2.0,11.0,3.0,High Salary,Low Sum of Loan,Low Income for Join Application,231,2,Self_Employed,no,normal,2,1,condominium,Johor,8,25.0,Reject
232,High Loan Amount,15.0,7.0,6.0,2.0,1.0,11.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,232,2,Self_Employed,yes,normal,2,2,condominium,Johor,6,22.0,Accept
233,Low Loan Amount,24.0,7.0,6.0,2.0,2.0,11.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,233,2,Self_Employed,no,normal,2,2,condominium,Johor,6,31.0,Reject
234,High Loan Amount,20.0,7.0,6.0,2.0,2.0,11.0,3.0,Average Salary,Low Sum of Loan,High Income for Join Application,234,2,Self_Employed,yes,normal,2,3,condominium,Johor,9,27.0,Accept
235,Low Loan Amount,12.0,10.0,6.0,2.0,2.0,11.0,2.0,Low Salary,High Sum of Loan,Average Income for Join Application,235,2,Self_Employed,no,normal,2,1,condominium,Johor,9,22.0,Accept
236,High Loan Amount,24.0,7.0,4.0,2.0,2.0,11.0,3.0,High Salary,Average Sum of Loan,Average Income for Join Application,236,2,Self_Employed,yes,normal,2,3,condominium,Johor,6,31.0,Accept
237,Average Loan Amount,21.0,7.0,6.0,2.0,2.0,10.0,2.0,Average Salary,High Sum of Loan,Average Income for Join Application,237,2,Self_Employed,no,normal,2,2,condominium,Johor,8,28.0,Accept
238,Low Loan Amount,23.0,7.0,3.0,2.0,2.0,10.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,238,2,Self_Employed,yes,normal,2,1,condominium,Johor,6,30.0,Accept
239,Average Loan Amount,22.0,7.0,6.0,2.0,2.0,11.0,3.0,Average Salary,Average Sum of Loan,Low Income for Join Application,239,2,Self_Employed,no,gold,2,3,condominium,Johor,9,29.0,Reject
240,High Loan Amount,16.0,7.0,6.0,2.0,2.0,11.0,1.0,High Salary,Low Sum of Loan,Average Income for Join Application,240,2,Self_Employed,yes,normal,2,2,condominium,Johor,7,23.0,Accept
241,Low Loan Amount,20.0,7.0,6.0,2.0,2.0,11.0,1.0,Low Salary,High Sum of Loan,High Income for Join Application,241,2,Self_Employed,no,gold,2,3,condominium,Johor,8,27.0,Reject
242,Low Loan Amount,10.0,7.0,6.0,2.0,2.0,11.0,1.0,High Salary,Low Sum of Loan,High Income for Join Application,242,2,Self_Employed,yes,normal,2,1,condominium,Johor,6,17.0,Accept
243,High Loan Amount,17.0,7.0,6.0,2.0,2.0,11.0,1.0,Low Salary,Average Sum of Loan,Average Income for Join Application,243,2,Self_Employed,no,normal,2,3,condominium,Johor,6,24.0,Accept
244,High Loan Amount,10.0,15.0,3.0,2.0,2.0,11.0,1.0,Average Salary,High Sum of Loan,Low Income for Join Application,244,2,Self_Employed,yes,normal,2,1,condominium,Johor,6,25.0,Accept
245,High Loan Amount,10.0,7.0,6.0,2.0,2.0,10.0,2.0,High Salary,Average Sum of Loan,Low Income for Join Application,245,2,Self_Employed,no,normal,2,3,condominium,Johor,9,17.0,Accept
246,Low Loan Amount,23.0,17.0,6.0,2.0,2.0,11.0,1.0,High Salary,Average Sum of Loan,Average Income for Join Application,246,2,Self_Employed,yes,normal,2,2,condominium,Johor,8,40.0,Accept
247,Average Loan Amount,17.0,7.0,6.0,2.0,2.0,11.0,3.0,High Salary,Average Sum of Loan,Low Income for Join Application,247,2,Self_Employed,no,normal,2,1,condominium,Johor,8,24.0,Reject
248,Low Loan Amount,12.0,7.0,3.0,2.0,2.0,11.0,1.0,Low Salary,Average Sum of Loan,Low Income for Join Application,248,2,Self_Employed,yes,gold,2,2,condominium,Johor,7,19.0,Reject
